시즌,판매기간,택매출(V+)_억,실판매출(V+)_억,실판매출(V-)_억,매출원가_억,택대비원가율_%,유통수수료_억,출고매출액_억,매출총이익_억,직접비_억,직접이익(A)_억,직접이익률_%,기말재고택가(시즌말)_억,"기말재고원가(B,시즌말)_억",판매율_%,현금회수갭(A-B)_억,기말재고택가(26.03)_억
22S,22.03~22.09,231.1,226.28,205.72,46.73,22.2,62.36,143.36,96.63,44.77,51.85,25.2,156.65,31.42,59.6,20.44,0.06
22F,22.09~23.03,281.6,275.21,250.2,65.15,25.5,77.47,172.73,107.58,47.07,60.51,24.2,229.55,51.88,55.1,8.63,0.56
22N,22.01~22.12,182.31,178.8,162.56,41.48,25.0,50.35,112.22,70.74,35.26,35.47,21.8,77.65,16.92,70.1,18.56,1.35
23S,23.03~23.09,246.18,240.13,218.3,56.02,25.0,65.34,152.96,96.94,48.65,48.29,22.1,221.6,51.2,52.6,-2.91,9.25
23F,23.09~24.03,253.14,240.38,218.53,58.42,25.4,62.67,155.86,97.44,47.66,49.78,22.8,305.03,68.36,45.4,-18.59,-0.18
23N,23.01~23.12,191.82,186.72,169.75,45.08,25.9,51.43,118.31,73.23,37.44,35.79,21.1,136.79,51.08,58.4,-15.28,4.03
24S,24.03~24.09,213.65,203.7,185.18,47.12,24.3,50.93,134.25,87.13,46.92,40.21,21.7,232.44,50.96,47.9,-10.75,25.81
24F,24.09~25.03,205.04,197.13,179.21,52.11,28.0,48.97,130.24,78.12,42.6,35.52,19.8,237.96,58.22,46.3,-22.7,46.04
24N,24.01~24.12,183.2,176.04,160.04,43.78,26.3,48.31,111.73,67.95,38.19,29.76,18.6,131.79,31.18,58.2,-1.42,36.04
25S,25.03~25.09,203.42,197.78,179.8,49.65,26.9,46.29,133.51,83.86,49.72,34.13,19.0,241.69,57.45,45.7,-23.32,118.54
25F,25.09~26.03,203.56,193.96,176.33,52.08,28.1,43.64,132.69,80.61,45.66,34.95,19.8,254.32,65.03,44.5,-30.07,254.32
25N,25.01~25.12,195.91,185.75,168.86,47.62,26.7,52.97,115.89,68.27,39.96,28.31,16.8,164.78,40.64,54.3,-12.33,129.05
22년합계,22S+22F+22N,695.01,680.29,618.48,153.36,24.3,190.18,428.31,274.95,127.1,147.83,23.9,463.85,100.22,60.0,47.63,1.97
23년합계,23S+23F+23N,691.14,667.23,606.58,159.52,25.4,179.44,427.13,267.61,133.75,133.86,22.1,663.42,170.64,51.0,-36.78,13.1
24년합계,24S+24F+24N,601.89,576.87,524.43,143.01,26.1,148.21,376.22,233.2,127.71,105.49,20.1,602.19,140.36,50.0,-34.87,107.89
25년합계,25S+25F+25N,602.89,577.49,524.99,149.35,27.2,142.9,382.09,232.74,135.34,97.39,18.6,660.79,163.12,47.7,-65.72,501.91
